User Query,Intent,Locations,Dates,Recommendation
"User is looking for travel advisory in Chennai, Pune.",travel_advisory,"Chennai, Pune",2024-11-13,No specific recommendation for this route.
"User is looking for hotel booking in Bangalore, Kolkata.",hotel_booking,"Bangalore, Kolkata",2024-04-16,No specific recommendation for this route.
"User is looking for hotel booking in Chennai, Kolkata.",hotel_booking,"Chennai, Kolkata",2024-09-01,No specific recommendation for this route.
"User is looking for flight booking in Jaipur, Pune.",flight_booking,"Jaipur, Pune",2024-03-24,No specific recommendation for this route.
"User is looking for hotel booking in Delhi, Mumbai.",hotel_booking,"Delhi, Mumbai",2024-05-13,Upgrade your stay in Mumbai to a 5-star hotel with rooftop dining. Enjoy the views of the Arabian Sea at the Taj Mahal Palace.
"User is looking for travel advisory in Mumbai, Bangalore.",travel_advisory,"Mumbai, Bangalore",2024-06-20,No specific recommendation for this route.
"User is looking for hotel booking in Delhi, Kolkata.",hotel_booking,"Delhi, Kolkata",2024-10-22,No specific recommendation for this route.
"User is looking for travel advisory in Mumbai, Jaipur.",travel_advisory,"Mumbai, Jaipur",2024-10-12,No specific recommendation for this route.
"User is looking for hotel booking in Bangalore, Jaipur.",hotel_booking,"Bangalore, Jaipur",2024-09-22,No specific recommendation for this route.
"User is looking for flight booking in Delhi, Chennai.",flight_booking,"Delhi, Chennai",2024-03-07,No specific recommendation for this route.
"User is looking for travel advisory in Kolkata, Mumbai.",travel_advisory,"Kolkata, Mumbai",2024-08-19,No specific recommendation for this route.
"User is looking for hotel booking in Chennai, Delhi.",hotel_booking,"Chennai, Delhi",2024-07-26,No specific recommendation for this route.
"User is looking for flight booking in Hyderabad, Delhi.",flight_booking,"Hyderabad, Delhi",2024-08-16,No specific recommendation for this route.
"User is looking for car rental in Hyderabad, Jaipur.",car_rental,"Hyderabad, Jaipur",2024-04-22,No specific recommendation for this route.
"User is looking for hotel booking in Hyderabad, Mumbai.",hotel_booking,"Hyderabad, Mumbai",2024-02-19,No specific recommendation for this route.
"User is looking for car rental in Mumbai, Jaipur.",car_rental,"Mumbai, Jaipur",2024-06-03,No specific recommendation for this route.
"User is looking for hotel booking in Kolkata, Delhi.",hotel_booking,"Kolkata, Delhi",2024-09-22,No specific recommendation for this route.
"User is looking for flight booking in Hyderabad, Delhi.",flight_booking,"Hyderabad, Delhi",2024-09-21,No specific recommendation for this route.
"User is looking for car rental in Hyderabad, Jaipur.",car_rental,"Hyderabad, Jaipur",2024-02-16,No specific recommendation for this route.
"User is looking for hotel booking in Jaipur, Mumbai.",hotel_booking,"Jaipur, Mumbai",2024-03-23,No specific recommendation for this route.
"User is looking for travel advisory in Jaipur, Delhi.",travel_advisory,"Jaipur, Delhi",2024-06-04,No specific recommendation for this route.
"User is looking for car rental in Hyderabad, Pune.",car_rental,"Hyderabad, Pune",2024-01-02,No specific recommendation for this route.
"User is looking for travel advisory in Bangalore, Pune.",travel_advisory,"Bangalore, Pune",2024-10-02,No specific recommendation for this route.
"User is looking for travel advisory in Jaipur, Chennai.",travel_advisory,"Jaipur, Chennai",2024-08-14,No specific recommendation for this route.
"User is looking for flight booking in Kolkata, Mumbai.",flight_booking,"Kolkata, Mumbai",2024-11-22,No specific recommendation for this route.
"User is looking for flight booking in Kolkata, Mumbai.",flight_booking,"Kolkata, Mumbai",2024-07-07,No specific recommendation for this route.
"User is looking for car rental in Jaipur, Chennai.",car_rental,"Jaipur, Chennai",2024-02-17,No specific recommendation for this route.
"User is looking for travel advisory in Hyderabad, Hyderabad.",travel_advisory,"Hyderabad, Hyderabad",2024-06-18,No specific recommendation for this route.
"User is looking for flight booking in Chennai, Jaipur.",flight_booking,"Chennai, Jaipur",2024-08-11,No specific recommendation for this route.
"User is looking for car rental in Bangalore, Hyderabad.",car_rental,"Bangalore, Hyderabad",2024-04-06,No specific recommendation for this route.
"User is looking for car rental in Bangalore, Jaipur.",car_rental,"Bangalore, Jaipur",2024-06-04,No specific recommendation for this route.
"User is looking for travel advisory in Jaipur, Delhi.",travel_advisory,"Jaipur, Delhi",2024-01-21,No specific recommendation for this route.
"User is looking for hotel booking in Jaipur, Kolkata.",hotel_booking,"Jaipur, Kolkata",2024-11-11,No specific recommendation for this route.
"User is looking for car rental in Pune, Pune.",car_rental,"Pune, Pune",2024-10-22,No specific recommendation for this route.
"User is looking for car rental in Chennai, Bangalore.",car_rental,"Chennai, Bangalore",2024-01-21,No specific recommendation for this route.
"User is looking for flight booking in Mumbai, Kolkata.",flight_booking,"Mumbai, Kolkata",2024-04-19,No specific recommendation for this route.
"User is looking for flight booking in Pune, Chennai.",flight_booking,"Pune, Chennai",2024-10-02,No specific recommendation for this route.
"User is looking for car rental in Bangalore, Mumbai.",car_rental,"Bangalore, Mumbai",2024-06-14,No specific recommendation for this route.
"User is looking for car rental in Delhi, Kolkata.",car_rental,"Delhi, Kolkata",2024-02-14,No specific recommendation for this route.
"User is looking for travel advisory in Mumbai, Hyderabad.",travel_advisory,"Mumbai, Hyderabad",2024-03-03,No specific recommendation for this route.
"User is looking for hotel booking in Pune, Hyderabad.",hotel_booking,"Pune, Hyderabad",2024-06-17,No specific recommendation for this route.
"User is looking for travel advisory in Kolkata, Hyderabad.",travel_advisory,"Kolkata, Hyderabad",2024-02-23,No specific recommendation for this route.
"User is looking for car rental in Bangalore, Pune.",car_rental,"Bangalore, Pune",2024-03-21,No specific recommendation for this route.
"User is looking for hotel booking in Bangalore, Chennai.",hotel_booking,"Bangalore, Chennai",2024-01-12,No specific recommendation for this route.
"User is looking for car rental in Chennai, Chennai.",car_rental,"Chennai, Chennai",2024-05-24,No specific recommendation for this route.
"User is looking for travel advisory in Delhi, Kolkata.",travel_advisory,"Delhi, Kolkata",2024-08-18,No specific recommendation for this route.
"User is looking for car rental in Chennai, Pune.",car_rental,"Chennai, Pune",2024-01-17,No specific recommendation for this route.
"User is looking for hotel booking in Hyderabad, Bangalore.",hotel_booking,"Hyderabad, Bangalore",2024-03-23,No specific recommendation for this route.
"User is looking for flight booking in Bangalore, Mumbai.",flight_booking,"Bangalore, Mumbai",2024-08-13,No specific recommendation for this route.
"User is looking for car rental in Hyderabad, Jaipur.",car_rental,"Hyderabad, Jaipur",2024-09-17,No specific recommendation for this route.
"User is looking for travel advisory in Mumbai, Chennai.",travel_advisory,"Mumbai, Chennai",2024-03-13,No specific recommendation for this route.
"User is looking for travel advisory in Hyderabad, Pune.",travel_advisory,"Hyderabad, Pune",2024-04-15,No specific recommendation for this route.
"User is looking for hotel booking in Hyderabad, Pune.",hotel_booking,"Hyderabad, Pune",2024-01-20,No specific recommendation for this route.
"User is looking for hotel booking in Kolkata, Bangalore.",hotel_booking,"Kolkata, Bangalore",2024-11-22,No specific recommendation for this route.
"User is looking for flight booking in Pune, Delhi.",flight_booking,"Pune, Delhi",2024-12-25,No specific recommendation for this route.
"User is looking for car rental in Pune, Mumbai.",car_rental,"Pune, Mumbai",2024-08-23,No specific recommendation for this route.
"User is looking for car rental in Delhi, Delhi.",car_rental,"Delhi, Delhi",2024-08-16,No specific recommendation for this route.
"User is looking for flight booking in Mumbai, Mumbai.",flight_booking,"Mumbai, Mumbai",2024-05-14,No specific recommendation for this route.
"User is looking for travel advisory in Jaipur, Kolkata.",travel_advisory,"Jaipur, Kolkata",2024-01-10,No specific recommendation for this route.
"User is looking for flight booking in Pune, Mumbai.",flight_booking,"Pune, Mumbai",2024-11-14,No specific recommendation for this route.
"User is looking for flight booking in Jaipur, Pune.",flight_booking,"Jaipur, Pune",2024-12-21,No specific recommendation for this route.
"User is looking for travel advisory in Bangalore, Delhi.",travel_advisory,"Bangalore, Delhi",2024-07-26,No specific recommendation for this route.
"User is looking for car rental in Delhi, Mumbai.",car_rental,"Delhi, Mumbai",2024-12-09,Rent luxury SUVs in Mumbai or try budget-friendly sedans in Delhi! Don’t miss visiting the Gateway of India and India Gate.
"User is looking for car rental in Kolkata, Bangalore.",car_rental,"Kolkata, Bangalore",2024-12-27,No specific recommendation for this route.
"User is looking for travel advisory in Kolkata, Chennai.",travel_advisory,"Kolkata, Chennai",2024-01-02,No specific recommendation for this route.
"User is looking for car rental in Delhi, Kolkata.",car_rental,"Delhi, Kolkata",2024-09-06,No specific recommendation for this route.
"User is looking for hotel booking in Kolkata, Mumbai.",hotel_booking,"Kolkata, Mumbai",2024-11-03,No specific recommendation for this route.
"User is looking for travel advisory in Mumbai, Hyderabad.",travel_advisory,"Mumbai, Hyderabad",2024-11-18,No specific recommendation for this route.
"User is looking for flight booking in Kolkata, Kolkata.",flight_booking,"Kolkata, Kolkata",2024-08-01,No specific recommendation for this route.
"User is looking for flight booking in Mumbai, Hyderabad.",flight_booking,"Mumbai, Hyderabad",2024-03-19,No specific recommendation for this route.
"User is looking for travel advisory in Chennai, Kolkata.",travel_advisory,"Chennai, Kolkata",2024-02-19,No specific recommendation for this route.
"User is looking for travel advisory in Bangalore, Kolkata.",travel_advisory,"Bangalore, Kolkata",2024-09-19,No specific recommendation for this route.
"User is looking for travel advisory in Jaipur, Chennai.",travel_advisory,"Jaipur, Chennai",2024-02-27,No specific recommendation for this route.
"User is looking for car rental in Hyderabad, Pune.",car_rental,"Hyderabad, Pune",2024-02-02,No specific recommendation for this route.
"User is looking for travel advisory in Pune, Mumbai.",travel_advisory,"Pune, Mumbai",2024-04-02,No specific recommendation for this route.
"User is looking for hotel booking in Hyderabad, Delhi.",hotel_booking,"Hyderabad, Delhi",2024-10-05,No specific recommendation for this route.
"User is looking for car rental in Jaipur, Hyderabad.",car_rental,"Jaipur, Hyderabad",2024-11-22,No specific recommendation for this route.
"User is looking for travel advisory in Jaipur, Kolkata.",travel_advisory,"Jaipur, Kolkata",2024-01-19,No specific recommendation for this route.
"User is looking for hotel booking in Bangalore, Delhi.",hotel_booking,"Bangalore, Delhi",2024-05-24,No specific recommendation for this route.
"User is looking for car rental in Hyderabad, Chennai.",car_rental,"Hyderabad, Chennai",2024-02-12,No specific recommendation for this route.
"User is looking for flight booking in Chennai, Chennai.",flight_booking,"Chennai, Chennai",2024-08-08,No specific recommendation for this route.
"User is looking for hotel booking in Delhi, Chennai.",hotel_booking,"Delhi, Chennai",2024-05-15,No specific recommendation for this route.
"User is looking for travel advisory in Delhi, Delhi.",travel_advisory,"Delhi, Delhi",2024-02-01,No specific recommendation for this route.
"User is looking for flight booking in Mumbai, Bangalore.",flight_booking,"Mumbai, Bangalore",2024-09-24,No specific recommendation for this route.
"User is looking for travel advisory in Mumbai, Mumbai.",travel_advisory,"Mumbai, Mumbai",2024-11-03,No specific recommendation for this route.
"User is looking for car rental in Kolkata, Bangalore.",car_rental,"Kolkata, Bangalore",2024-05-22,No specific recommendation for this route.
"User is looking for flight booking in Bangalore, Hyderabad.",flight_booking,"Bangalore, Hyderabad",2024-04-05,No specific recommendation for this route.
"User is looking for travel advisory in Hyderabad, Jaipur.",travel_advisory,"Hyderabad, Jaipur",2024-03-05,No specific recommendation for this route.
"User is looking for travel advisory in Delhi, Bangalore.",travel_advisory,"Delhi, Bangalore",2024-07-05,No specific recommendation for this route.
"User is looking for travel advisory in Delhi, Hyderabad.",travel_advisory,"Delhi, Hyderabad",2024-09-26,No specific recommendation for this route.
"User is looking for flight booking in Jaipur, Chennai.",flight_booking,"Jaipur, Chennai",2024-12-26,No specific recommendation for this route.
"User is looking for car rental in Bangalore, Pune.",car_rental,"Bangalore, Pune",2024-02-16,No specific recommendation for this route.
"User is looking for hotel booking in Chennai, Jaipur.",hotel_booking,"Chennai, Jaipur",2024-03-21,No specific recommendation for this route.
"User is looking for hotel booking in Kolkata, Delhi.",hotel_booking,"Kolkata, Delhi",2024-10-12,No specific recommendation for this route.
"User is looking for hotel booking in Jaipur, Bangalore.",hotel_booking,"Jaipur, Bangalore",2024-08-01,No specific recommendation for this route.
"User is looking for car rental in Chennai, Hyderabad.",car_rental,"Chennai, Hyderabad",2024-06-14,No specific recommendation for this route.
"User is looking for car rental in Pune, Kolkata.",car_rental,"Pune, Kolkata",2024-04-15,No specific recommendation for this route.
"User is looking for flight booking in Chennai, Hyderabad.",flight_booking,"Chennai, Hyderabad",2024-05-26,No specific recommendation for this route.
"User is looking for car rental in Bangalore, Pune.",car_rental,"Bangalore, Pune",2024-05-13,No specific recommendation for this route.
"User is looking for car rental in Delhi, Chennai.",car_rental,"Delhi, Chennai",2024-02-24,No specific recommendation for this route.
"User is looking for hotel booking in Delhi, Jaipur.",hotel_booking,"Delhi, Jaipur",2024-05-20,No specific recommendation for this route.
"User is looking for travel advisory in Bangalore, Mumbai.",travel_advisory,"Bangalore, Mumbai",2024-07-28,No specific recommendation for this route.
"User is looking for car rental in Jaipur, Jaipur.",car_rental,"Jaipur, Jaipur",2024-11-12,No specific recommendation for this route.
"User is looking for hotel booking in Chennai, Kolkata.",hotel_booking,"Chennai, Kolkata",2024-05-21,No specific recommendation for this route.
"User is looking for hotel booking in Bangalore, Kolkata.",hotel_booking,"Bangalore, Kolkata",2024-08-09,No specific recommendation for this route.
"User is looking for car rental in Bangalore, Delhi.",car_rental,"Bangalore, Delhi",2024-11-04,No specific recommendation for this route.
"User is looking for car rental in Bangalore, Hyderabad.",car_rental,"Bangalore, Hyderabad",2024-02-17,No specific recommendation for this route.
"User is looking for travel advisory in Bangalore, Kolkata.",travel_advisory,"Bangalore, Kolkata",2024-02-16,No specific recommendation for this route.
"User is looking for travel advisory in Bangalore, Kolkata.",travel_advisory,"Bangalore, Kolkata",2024-02-12,No specific recommendation for this route.
"User is looking for car rental in Jaipur, Jaipur.",car_rental,"Jaipur, Jaipur",2024-02-22,No specific recommendation for this route.
"User is looking for car rental in Delhi, Mumbai.",car_rental,"Delhi, Mumbai",2024-05-10,Rent luxury SUVs in Mumbai or try budget-friendly sedans in Delhi! Don’t miss visiting the Gateway of India and India Gate.
"User is looking for hotel booking in Mumbai, Chennai.",hotel_booking,"Mumbai, Chennai",2024-04-05,No specific recommendation for this route.
"User is looking for car rental in Kolkata, Hyderabad.",car_rental,"Kolkata, Hyderabad",2024-09-17,No specific recommendation for this route.
"User is looking for hotel booking in Jaipur, Chennai.",hotel_booking,"Jaipur, Chennai",2024-06-05,No specific recommendation for this route.
"User is looking for hotel booking in Mumbai, Hyderabad.",hotel_booking,"Mumbai, Hyderabad",2024-01-04,No specific recommendation for this route.
"User is looking for hotel booking in Bangalore, Jaipur.",hotel_booking,"Bangalore, Jaipur",2024-08-09,No specific recommendation for this route.
"User is looking for travel advisory in Jaipur, Delhi.",travel_advisory,"Jaipur, Delhi",2024-01-23,No specific recommendation for this route.
"User is looking for hotel booking in Hyderabad, Bangalore.",hotel_booking,"Hyderabad, Bangalore",2024-05-26,No specific recommendation for this route.
"User is looking for hotel booking in Hyderabad, Mumbai.",hotel_booking,"Hyderabad, Mumbai",2024-09-06,No specific recommendation for this route.
"User is looking for flight booking in Delhi, Mumbai.",flight_booking,"Delhi, Mumbai",2024-12-09,We recommend exploring flights to Jaipur for a change! Explore the Amber Fort and City Palace.
"User is looking for travel advisory in Jaipur, Bangalore.",travel_advisory,"Jaipur, Bangalore",2024-04-17,No specific recommendation for this route.
"User is looking for hotel booking in Hyderabad, Delhi.",hotel_booking,"Hyderabad, Delhi",2024-03-01,No specific recommendation for this route.
"User is looking for flight booking in Bangalore, Hyderabad.",flight_booking,"Bangalore, Hyderabad",2024-04-08,No specific recommendation for this route.
"User is looking for travel advisory in Chennai, Kolkata.",travel_advisory,"Chennai, Kolkata",2024-04-13,No specific recommendation for this route.
"User is looking for flight booking in Hyderabad, Mumbai.",flight_booking,"Hyderabad, Mumbai",2024-04-17,No specific recommendation for this route.
"User is looking for flight booking in Pune, Hyderabad.",flight_booking,"Pune, Hyderabad",2024-12-16,No specific recommendation for this route.
"User is looking for flight booking in Bangalore, Mumbai.",flight_booking,"Bangalore, Mumbai",2024-06-18,No specific recommendation for this route.
"User is looking for car rental in Delhi, Jaipur.",car_rental,"Delhi, Jaipur",2024-11-20,No specific recommendation for this route.
"User is looking for hotel booking in Jaipur, Chennai.",hotel_booking,"Jaipur, Chennai",2024-12-27,No specific recommendation for this route.
"User is looking for hotel booking in Jaipur, Mumbai.",hotel_booking,"Jaipur, Mumbai",2024-06-18,No specific recommendation for this route.
"User is looking for hotel booking in Jaipur, Jaipur.",hotel_booking,"Jaipur, Jaipur",2024-08-18,No specific recommendation for this route.
"User is looking for car rental in Kolkata, Delhi.",car_rental,"Kolkata, Delhi",2024-08-15,No specific recommendation for this route.
"User is looking for flight booking in Pune, Pune.",flight_booking,"Pune, Pune",2024-04-08,No specific recommendation for this route.
"User is looking for flight booking in Delhi, Jaipur.",flight_booking,"Delhi, Jaipur",2024-06-21,No specific recommendation for this route.
"User is looking for flight booking in Chennai, Mumbai.",flight_booking,"Chennai, Mumbai",2024-04-01,No specific recommendation for this route.
"User is looking for hotel booking in Jaipur, Hyderabad.",hotel_booking,"Jaipur, Hyderabad",2024-01-27,No specific recommendation for this route.
"User is looking for car rental in Hyderabad, Chennai.",car_rental,"Hyderabad, Chennai",2024-05-15,No specific recommendation for this route.
"User is looking for travel advisory in Chennai, Jaipur.",travel_advisory,"Chennai, Jaipur",2024-04-03,No specific recommendation for this route.
"User is looking for flight booking in Hyderabad, Chennai.",flight_booking,"Hyderabad, Chennai",2024-10-25,No specific recommendation for this route.
"User is looking for flight booking in Hyderabad, Kolkata.",flight_booking,"Hyderabad, Kolkata",2024-09-21,No specific recommendation for this route.
"User is looking for hotel booking in Delhi, Mumbai.",hotel_booking,"Delhi, Mumbai",2024-12-13,Upgrade your stay in Mumbai to a 5-star hotel with rooftop dining. Enjoy the views of the Arabian Sea at the Taj Mahal Palace.
"User is looking for flight booking in Delhi, Delhi.",flight_booking,"Delhi, Delhi",2024-10-14,No specific recommendation for this route.
"User is looking for flight booking in Jaipur, Jaipur.",flight_booking,"Jaipur, Jaipur",2024-12-26,No specific recommendation for this route.
"User is looking for hotel booking in Pune, Bangalore.",hotel_booking,"Pune, Bangalore",2024-11-19,No specific recommendation for this route.
"User is looking for hotel booking in Kolkata, Hyderabad.",hotel_booking,"Kolkata, Hyderabad",2024-02-22,No specific recommendation for this route.
"User is looking for car rental in Hyderabad, Mumbai.",car_rental,"Hyderabad, Mumbai",2024-10-03,No specific recommendation for this route.
"User is looking for hotel booking in Chennai, Delhi.",hotel_booking,"Chennai, Delhi",2024-09-13,No specific recommendation for this route.
"User is looking for hotel booking in Delhi, Bangalore.",hotel_booking,"Delhi, Bangalore",2024-08-21,No specific recommendation for this route.
"User is looking for car rental in Mumbai, Chennai.",car_rental,"Mumbai, Chennai",2024-01-04,No specific recommendation for this route.
"User is looking for travel advisory in Chennai, Hyderabad.",travel_advisory,"Chennai, Hyderabad",2024-09-02,No specific recommendation for this route.
"User is looking for car rental in Delhi, Mumbai.",car_rental,"Delhi, Mumbai",2024-09-25,Rent luxury SUVs in Mumbai or try budget-friendly sedans in Delhi! Don’t miss visiting the Gateway of India and India Gate.
"User is looking for flight booking in Pune, Pune.",flight_booking,"Pune, Pune",2024-11-18,No specific recommendation for this route.
"User is looking for hotel booking in Chennai, Chennai.",hotel_booking,"Chennai, Chennai",2024-07-18,No specific recommendation for this route.
"User is looking for hotel booking in Kolkata, Mumbai.",hotel_booking,"Kolkata, Mumbai",2024-06-28,No specific recommendation for this route.
"User is looking for flight booking in Kolkata, Pune.",flight_booking,"Kolkata, Pune",2024-11-16,No specific recommendation for this route.
"User is looking for car rental in Kolkata, Hyderabad.",car_rental,"Kolkata, Hyderabad",2024-11-19,No specific recommendation for this route.
"User is looking for travel advisory in Kolkata, Kolkata.",travel_advisory,"Kolkata, Kolkata",2024-06-12,No specific recommendation for this route.
"User is looking for car rental in Kolkata, Delhi.",car_rental,"Kolkata, Delhi",2024-06-23,No specific recommendation for this route.
"User is looking for travel advisory in Kolkata, Kolkata.",travel_advisory,"Kolkata, Kolkata",2024-06-17,No specific recommendation for this route.
"User is looking for hotel booking in Chennai, Kolkata.",hotel_booking,"Chennai, Kolkata",2024-01-21,No specific recommendation for this route.
"User is looking for car rental in Chennai, Hyderabad.",car_rental,"Chennai, Hyderabad",2024-07-01,No specific recommendation for this route.
"User is looking for car rental in Delhi, Bangalore.",car_rental,"Delhi, Bangalore",2024-12-14,No specific recommendation for this route.
"User is looking for flight booking in Pune, Bangalore.",flight_booking,"Pune, Bangalore",2024-12-28,No specific recommendation for this route.
"User is looking for travel advisory in Bangalore, Mumbai.",travel_advisory,"Bangalore, Mumbai",2024-10-22,No specific recommendation for this route.
"User is looking for flight booking in Bangalore, Hyderabad.",flight_booking,"Bangalore, Hyderabad",2024-06-22,No specific recommendation for this route.
"User is looking for travel advisory in Pune, Mumbai.",travel_advisory,"Pune, Mumbai",2024-04-13,No specific recommendation for this route.
"User is looking for hotel booking in Jaipur, Hyderabad.",hotel_booking,"Jaipur, Hyderabad",2024-08-09,No specific recommendation for this route.
"User is looking for travel advisory in Hyderabad, Hyderabad.",travel_advisory,"Hyderabad, Hyderabad",2024-03-11,No specific recommendation for this route.
"User is looking for hotel booking in Hyderabad, Bangalore.",hotel_booking,"Hyderabad, Bangalore",2024-10-11,No specific recommendation for this route.
"User is looking for car rental in Bangalore, Hyderabad.",car_rental,"Bangalore, Hyderabad",2024-10-27,No specific recommendation for this route.
"User is looking for travel advisory in Mumbai, Mumbai.",travel_advisory,"Mumbai, Mumbai",2024-12-14,No specific recommendation for this route.
"User is looking for hotel booking in Pune, Delhi.",hotel_booking,"Pune, Delhi",2024-03-18,No specific recommendation for this route.
"User is looking for flight booking in Hyderabad, Chennai.",flight_booking,"Hyderabad, Chennai",2024-04-13,No specific recommendation for this route.
"User is looking for flight booking in Pune, Chennai.",flight_booking,"Pune, Chennai",2024-04-17,No specific recommendation for this route.
"User is looking for hotel booking in Delhi, Mumbai.",hotel_booking,"Delhi, Mumbai",2024-11-23,Upgrade your stay in Mumbai to a 5-star hotel with rooftop dining. Enjoy the views of the Arabian Sea at the Taj Mahal Palace.
"User is looking for flight booking in Pune, Hyderabad.",flight_booking,"Pune, Hyderabad",2024-08-06,No specific recommendation for this route.
"User is looking for flight booking in Kolkata, Pune.",flight_booking,"Kolkata, Pune",2024-09-10,No specific recommendation for this route.
"User is looking for car rental in Pune, Hyderabad.",car_rental,"Pune, Hyderabad",2024-07-28,No specific recommendation for this route.
"User is looking for travel advisory in Chennai, Mumbai.",travel_advisory,"Chennai, Mumbai",2024-05-06,No specific recommendation for this route.
"User is looking for hotel booking in Bangalore, Jaipur.",hotel_booking,"Bangalore, Jaipur",2024-08-01,No specific recommendation for this route.
"User is looking for travel advisory in Mumbai, Bangalore.",travel_advisory,"Mumbai, Bangalore",2024-12-17,No specific recommendation for this route.
"User is looking for flight booking in Jaipur, Hyderabad.",flight_booking,"Jaipur, Hyderabad",2024-04-17,No specific recommendation for this route.
"User is looking for hotel booking in Pune, Kolkata.",hotel_booking,"Pune, Kolkata",2024-10-14,No specific recommendation for this route.
"User is looking for car rental in Bangalore, Kolkata.",car_rental,"Bangalore, Kolkata",2024-02-11,No specific recommendation for this route.
"User is looking for flight booking in Delhi, Bangalore.",flight_booking,"Delhi, Bangalore",2024-06-17,No specific recommendation for this route.
"User is looking for travel advisory in Bangalore, Chennai.",travel_advisory,"Bangalore, Chennai",2024-09-06,No specific recommendation for this route.
"User is looking for car rental in Bangalore, Mumbai.",car_rental,"Bangalore, Mumbai",2024-03-22,No specific recommendation for this route.
"User is looking for flight booking in Jaipur, Jaipur.",flight_booking,"Jaipur, Jaipur",2024-07-03,No specific recommendation for this route.
"User is looking for flight booking in Hyderabad, Mumbai.",flight_booking,"Hyderabad, Mumbai",2024-03-22,No specific recommendation for this route.
"User is looking for hotel booking in Jaipur, Pune.",hotel_booking,"Jaipur, Pune",2024-08-18,No specific recommendation for this route.
"User is looking for travel advisory in Pune, Delhi.",travel_advisory,"Pune, Delhi",2024-11-09,No specific recommendation for this route.
"User is looking for flight booking in Pune, Hyderabad.",flight_booking,"Pune, Hyderabad",2024-04-21,No specific recommendation for this route.
"User is looking for travel advisory in Pune, Hyderabad.",travel_advisory,"Pune, Hyderabad",2024-03-12,No specific recommendation for this route.
"User is looking for car rental in Kolkata, Chennai.",car_rental,"Kolkata, Chennai",2024-01-16,No specific recommendation for this route.
"User is looking for travel advisory in Kolkata, Delhi.",travel_advisory,"Kolkata, Delhi",2024-02-16,No specific recommendation for this route.
